B7Z0I8_DROME	FBgn0250754
M3K7_DROME	FBgn0026323
X2JFZ3_DROME	FBgn0026323
Q8IRI7_DROME	FBgn0025676
Q9W0N3_DROME	FBgn0025676
EXOC4_DROME	FBgn0266672
A0A0R4STL4_DROME	FBgn0263354
M9MRJ1_DROME	FBgn0263354
M9NDP3_DROME	FBgn0263354
Q9VJX4_DROME	FBgn0263354
LCP81_DROME	FBgn0020638
LCP82_DROME	FBgn0020637
MT1_DROME	FBgn0002868
A0A0B4KFM8_DROME	FBgn0002868
CMC_DROME	FBgn0028646
A0A0B4K6V1_DROME	FBgn0028646
A0A0B4KHW3_DROME	FBgn0028646
Q9VPB6_DROME	FBgn0037022
M9MSI4_DROME	FBgn0028872
Q9VJU1_DROME	FBgn0028872
M9PF04_DROME	FBgn0052103
Q0E8F2_DROME	FBgn0052103
Q9VTX3_DROME	FBgn0052103
GPRS_DROME	FBgn0024232
A0A0B4KES6_DROME	FBgn0024232
A0A0B4KEX5_DROME	FBgn0024232
A0A0B4KF89_DROME	FBgn0024232
A0A0B4KFS9_DROME	FBgn0024232
A0A0B4KG42_DROME	FBgn0024232
Q7KTG5_DROME	FBgn0032120
Q7KTG6_DROME	FBgn0032120
Q9W0Q0_DROME	FBgn0035143
RRP15_DROME	FBgn0038275
Q7K3E2_DROME	FBgn0031313
A1Z6J2_DROME	FBgn0033052
Q9VVT6_DROME	FBgn0036820
O15971_DROME	FBgn0015789
Q9VFB6_DROME	FBgn0038304
A8DYB0_DROME	FBgn0033661
A1ZBR2_DROME	FBgn0287775
CSN3_DROME	FBgn0027055
Q9W365_DROME	FBgn0052704
UBP32_DROME	FBgn0036913
DDX1_DROME	FBgn0015075
Q9VK23_DROME	FBgn0032483
Q9VJC1_DROME	FBgn0032651
Q9W2R2_DROME	FBgn0034552
60A_DROME	FBgn0024234
A0A0B4LGA7_DROME	FBgn0024234
Q9VI20_DROME	FBgn0037442
Q9VML8_DROME	FBgn0031745
Q9U6R9_DROME	FBgn0028552
P91634_DROME	FBgn0015279
Q9VYA1_DROME	FBgn0030510
E1JJN5_DROME	FBgn0263706
M9PEZ9_DROME	FBgn0263706
M9PHU0_DROME	FBgn0263706
Q9VX48_DROME	FBgn0263706
M9NEE8_DROME	FBgn0262518
O18338_DROME	FBgn0262518
LASP1_DROME	FBgn0063485
M9NDA6_DROME	FBgn0063485
M9NFH3_DROME	FBgn0063485
Q9VDI3_DROME	FBgn0038830
KU70_DROME	FBgn0011774
A0A0B4KFM4_DROME	FBgn0011774
SSBP_DROME	FBgn0010438
RS25_DROME	FBgn0086472
RESIL_DROME	FBgn0034157
