P92177	14-3-3epsilon	FBgn0020238
P29310	14-3-3zeta	FBgn0004907
P36872	tws	FBgn0004889
P16375	svp	FBgn0003651
P16376	svp	FBgn0003651
P00522	Abl	FBgn0000017
Q9VLJ6	Acer	FBgn0016122
Q8INB9	Akt1	FBgn0010379
P13607	Atpalpha	FBgn0002921
Q94546	Atu	FBgn0019637
Q9VQU9	bowl	FBgn0004893
Q8MQJ9	brat	FBgn0010300
P08630	Btk29A	FBgn0003502
Q24522	bun	FBgn0259176
Q24523	bun	FBgn0259176
Q24298	shg	FBgn0003391
P45594	tsr	FBgn0011726
P62152	Cam	FBgn0000253
O02002	Dcp-1	FBgn0010501
P17336	Cat	FBgn0000261
P14785	CycA	FBgn0000404
P54733	CycE	FBgn0010382
Q7YU81	chn	FBgn0015371
P20482	cnc	FBgn0262975
P41046	corto	FBgn0010313
O16844	cos	FBgn0000352
Q01617	cpo	FBgn0263995
P29747	CrebA	FBgn0004396
Q9V3A4	Catsup	FBgn0002022
O46036	CtBP	FBgn0020496
Q24114	dally	FBgn0263930
P05031	Ddc	FBgn0000422
Q9V3C0	abs	FBgn0015331
P23128	me31B	FBgn0004419
P07713	dpp	FBgn0000490
P48608	dia	FBgn0011202
O44081	Nop60B	FBgn0259937
P20009	Dll	FBgn0000157
P10041	Dl	FBgn0000463
Q03751	Csp	FBgn0004179
P49762	Doa	FBgn0265998
P20105	Eip74EF	FBgn0000567
P11536	Eip74EF	FBgn0000567
P17672	Eip75B	FBgn0000568
P13055	Eip75B	FBgn0000568
P17671	Eip75B	FBgn0000568
P34021	EcR	FBgn0000546
P04412	Egfr	FBgn0003731
P18491	emc	FBgn0000575
Q9V8R9	cora	FBgn0010434
O76767	KdelR	FBgn0267330
P25932	esg	FBgn0001981
Q07436	ex	FBgn0004583
Q09147	btl	FBgn0285896
P33244	ftz-f1	FBgn0001078
P26016	Fur1	FBgn0004509
P30430	Fur1	FBgn0004509
Q08605	Trl	FBgn0013263
P38040	Ggamma1	FBgn0004921
Q9U616	ppl	FBgn0027945
Q08012	drk	FBgn0004638
P54366	Gsc	FBgn0010323
P14003	h	FBgn0001168
Q9V3D2	Coprox	FBgn0021944
P55162	Hem	FBgn0011771
Q02936	hh	FBgn0004644
P31264	pb	FBgn0051481
O01367	how	FBgn0264491
P49869	Hr38	FBgn0014859
P22813	Hsf	FBgn0001222
P11147	Hsc70-4	FBgn0266599
P29845	Hsc70-5	FBgn0001220
P02828	Hsp83	FBgn0001233
O46339	hth	FBgn0001235
P52295	Pen	FBgn0267727
P09208	InR	FBgn0283499
O77460	Nurf-38	FBgn0016687
O44386	scb	FBgn0286785
Q9U915	Adk2	FBgn0283494
P12370	Pka-C1	FBgn0000273
O77459	ken	FBgn0011236
Q03043	for	FBgn0000721
P32023	for	FBgn0000721
P17210	Khc	FBgn0001308
P46863	Klp61F	FBgn0004378
Q9VPU8	dbe	FBgn0020305
P07247	Kr	FBgn0001325
P10105	lab	FBgn0002522
P08928	Lam	FBgn0002525
P42283	lola	FBgn0283521
P42284	lola	FBgn0283521
Q7KQZ4	lola	FBgn0283521
Q867Z4	lola	FBgn0283521
Q9V5M6	lola	FBgn0283521
Q9V5M3	lola	FBgn0283521
Q7KRI2	lolal	FBgn0022238
P42003	Mad	FBgn0011648
P21519	mam	FBgn0002643
P49735	Mcm2	FBgn0014861
Q86B87	mod(mdg4)	FBgn0002781
P91891	Mo25	FBgn0017572
P20483	stg	FBgn0003525
Q9V3Z6	ck	FBgn0000317
P05661	Mhc	FBgn0264695
Q99323	zip	FBgn0265434
P35415	Prm	FBgn0003149
P35416	Prm	FBgn0003149
P25724	nos	FBgn0002962
P20480	ncd	FBgn0002924
P08879	awd	FBgn0000150
P29503	neur	FBgn0002932
Q94527	Rel	FBgn0014018
Q9U3Z7	hoip	FBgn0286786
O46106	noi	FBgn0014366
P16554	numb	FBgn0002973
P23803	odd	FBgn0002985
Q9VCA2	Orct	FBgn0019952
P21187	pAbp	FBgn0265297
Q24459	Pcl	FBgn0003044
P52034	Pfk	FBgn0003071
O01404	Phm	FBgn0283509
P51023	pnt	FBgn0003118
P40797	pnut	FBgn0013726
