14-3-3epsilon	FBgn0020238
14-3-3zeta	FBgn0004907
tws	FBgn0004889
svp	FBgn0003651
Abl	FBgn0000017
Acer	FBgn0016122
Akt1	FBgn0010379
Atpalpha	FBgn0002921
Atu	FBgn0019637
bowl	FBgn0004893
brat	FBgn0010300
Btk29A	FBgn0003502
bun	FBgn0259176
shg	FBgn0003391
tsr	FBgn0011726
Cam	FBgn0000253
Dcp-1	FBgn0010501
Cat	FBgn0000261
CycA	FBgn0000404
CycE	FBgn0010382
chn	FBgn0015371
cnc	FBgn0262975
corto	FBgn0010313
cos	FBgn0000352
cpo	FBgn0263995
CrebA	FBgn0004396
Catsup	FBgn0002022
CtBP	FBgn0020496
dally	FBgn0263930
Ddc	FBgn0000422
abs	FBgn0015331
me31B	FBgn0004419
dpp	FBgn0000490
dia	FBgn0011202
Nop60B	FBgn0259937
Dll	FBgn0000157
Dl	FBgn0000463
Csp	FBgn0004179
Doa	FBgn0265998
Eip74EF	FBgn0000567
Eip75B	FBgn0000568
EcR	FBgn0000546
Egfr	FBgn0003731
emc	FBgn0000575
cora	FBgn0010434
KdelR	FBgn0267330
ex	FBgn0004583
btl	FBgn0285896
ftz-f1	FBgn0001078
Fur1	FBgn0004509
Trl	FBgn0013263
Ggamma1	FBgn0004921
ppl	FBgn0027945
drk	FBgn0004638
Gsc	FBgn0010323
h	FBgn0001168
Coprox	FBgn0021944
Hem	FBgn0011771
hh	FBgn0004644
pb	FBgn0051481
how	FBgn0264491
Hr38	FBgn0014859
Hsf	FBgn0001222
Hsc70-4	FBgn0266599
Hsc70-5	FBgn0001220
Hsp83	FBgn0001233
hth	FBgn0001235
Pen	FBgn0267727
InR	FBgn0283499
Nurf-38	FBgn0016687
scb	FBgn0286785
Pka-C1	FBgn0000273
ken	FBgn0011236
for	FBgn0000721
Khc	FBgn0001308
Klp61F	FBgn0004378
dbe	FBgn0020305
Kr	FBgn0001325
lab	FBgn0002522
Lam	FBgn0002525
lola	FBgn0283521
lolal	FBgn0022238
Mad	FBgn0011648
mam	FBgn0002643
Mcm2	FBgn0014861
mod(mdg4)	FBgn0002781
Mo25	FBgn0017572
stg	FBgn0003525
ck	FBgn0000317
Mhc	FBgn0264695
zip	FBgn0265434
Prm	FBgn0003149
nos	FBgn0002962
ncd	FBgn0002924
awd	FBgn0000150
neur	FBgn0002932
Rel	FBgn0014018
hoip	FBgn0286786
noi	FBgn0014366
numb	FBgn0002973
odd	FBgn0002985
Orct	FBgn0019952
pAbp	FBgn0265297
Pcl	FBgn0003044
Pfk	FBgn0003071
Phm	FBgn0283509
pnt	FBgn0003118
pnut	FBgn0013726
Pp1-87B	FBgn0004103
mts	FBgn0004177
pros	FBgn0004595
Psc	FBgn0005624
pum	FBgn0003165
Rab6	FBgn0015797
Ras85D	FBgn0003205
Hrb27C	FBgn0004838
Rga	FBgn0017550
RnrL	FBgn0011703
RpI135	FBgn0003278
Nnp-1	FBgn0022069
RpS12	FBgn0286213
RpS13	FBgn0010265
RpS26	FBgn0261597
RpS27A	FBgn0003942
salm	FBgn0261648
slp1	FBgn0003430
spi	FBgn0005672
mei-W68	FBgn0002716
SelD	FBgn0261270
sqd	FBgn0263396
Src42A	FBgn0264959
bs	FBgn0004101
srp	FBgn0003507
B52	FBgn0004587
S	FBgn0003310
Stat92E	FBgn0016917
stc	FBgn0001978
Su(H)	FBgn0004837
Syb	FBgn0003660
TfIIFbeta	FBgn0010421
Ten-m	FBgn0004449
thr	FBgn0003701
Tm1	FBgn0003721
trh	FBgn0262139
trx	FBgn0003862
tsh	FBgn0003866
ttk	FBgn0003870
U2af38	FBgn0017457
eff	FBgn0011217
heix	FBgn0028375
Ubi-p63E	FBgn0003943
sgl	FBgn0261445
Vha68-2	FBgn0263598
Vha55	FBgn0005671
porin	FBgn0004363
vn	FBgn0003984
wg	FBgn0284084
wun	FBgn0016078
zfh1	FBgn0004606
Snr1	FBgn0011715
Eb1	FBgn0027066
tkv	FBgn0003716
kuz	FBgn0259984
lwr	FBgn0010602
zf30C	FBgn0270924
wb	FBgn0261563
Fer2LCH	FBgn0015221
bur	FBgn0000239
sm	FBgn0003435
crol	FBgn0020309
Fer1HCH	FBgn0015222
vkg	FBgn0016075
mub	FBgn0262737
lace	FBgn0002524
RpL30	FBgn0086710
msn	FBgn0010909
Rpp30	FBgn0283652
kis	FBgn0266557
babo	FBgn0011300
Sin3A	FBgn0022764
shn	FBgn0003396
rnh1	FBgn0023171
repo	FBgn0011701
Fpps	FBgn0025373
smid	FBgn0016983
barr	FBgn0014127
sr	FBgn0003499
dap	FBgn0010316
Uba1	FBgn0023143
neb	FBgn0004374
spag	FBgn0015544
RhoGEF2	FBgn0023172
apt	FBgn0015903
toc	FBgn0015600
Cdc27	FBgn0012058
glu	FBgn0015391
cnk	FBgn0286070
Dph5	FBgn0024558
crp	FBgn0001994
RFeSP	FBgn0021906
Hmgs	FBgn0010611
Neos	FBgn0024542
vimar	FBgn0022960
Rca1	FBgn0017551
slmb	FBgn0283468
Sip1	FBgn0010620
l(3)73Ah	FBgn0002283
prod	FBgn0014269
Rab5	FBgn0014010
klu	FBgn0013469
Zfrp8	FBgn0021875
Bub1	FBgn0031696
fray	FBgn0023083
Dad	FBgn0020493
klg	FBgn0017590
sktl	FBgn0016984
Srp54	FBgn0024285
vri	FBgn0016076
Xbp1	FBgn0021872
put	FBgn0003169
dock	FBgn0010583
spdo	FBgn0260440
dac	FBgn0005677
18w	FBgn0287775
fas	FBgn0000633
Xe7	FBgn0010772
fs(2)ltoPP43	FBgn0004811
