Q9VK89	FBgn0032430
A8JUR3	FBgn0083979
Q9VZ19	FBgn0026268
P56079	FBgn0010350
Q9VE86	FBgn0038608
Q9VFP5	FBgn0038191
Q9VL69	FBgn0025700
Q8SXX8	FBgn0035545
Q9VQV2	FBgn0021800
Q8T956	FBgn0042198
M9PC68	FBgn0036152
Q9VXG7	FBgn0030746
Q9XZT0	FBgn0026874
Q9W2M6	FBgn0022700
Q9VHK9	FBgn0037635
Q9VHQ0	FBgn0051450
Q8MR62	FBgn0036237
P48423	FBgn0004390
Q9VTY6	FBgn0264848
Q9VRM1	FBgn0035611
Q7K4C2	FBgn0033584
Q9VGR8	FBgn0037877
Q0E9E2	FBgn0027580
Q8WSF3	FBgn0045063
Q9VR92	FBgn0031108
Q9NII1	FBgn0026086
Q7K4B6	FBgn0020312
Q9VTU8	FBgn0027843
O77434	FBgn0260855
E2QCF1	FBgn0020236
Q9V3H2	FBgn0028694
P35005	FBgn0010425
Q9W2H0	FBgn0034627
Q9Y163	FBgn0041150
Q8IRY0	FBgn0025641
Q9VDU4	FBgn0038730
Q26307	FBgn0011746
Q7KV27	FBgn0030478
Q9VPF1	FBgn0036994
Q9W0X8	FBgn0027599
P10084	FBgn0004170
Q9VHE4	FBgn0037687
Q9W1H5	FBgn0034921
Q9VYZ8	FBgn0287454
Q9VGL8	FBgn0037917
A1ZAK3	FBgn0026533
Q9VHM0	FBgn0037625
Q9VEA3	FBgn0038592
Q9VXU5	FBgn0030647
Q86NK9	FBgn0026428
Q9VZ77	FBgn0035581
Q8T3U2	FBgn0033912
Q8IPH9	FBgn0264087
Q9VIZ3	FBgn0086444
Q8IRQ5	FBgn0286222
P07664	FBgn0003512
Q9I7Q8	FBgn0261788
Q9VXN2	FBgn0014391
Q9VA00	FBgn0061476
Q9VZZ2	FBgn0035358
Q9W0H2	FBgn0035207
Q9GQN5	FBgn0039338
Q9VRS2	FBgn0052406
P16371	FBgn0001139
Q9VUR4	FBgn0036516
Q960Q8	FBgn0035027
Q95SC5	FBgn0038679
Q9VD26	FBgn0038950
Q7JWM4	FBgn0033590
Q7JUR6	FBgn0042135
Q8SXU3	FBgn0034035
Q960C7	FBgn0033205
Q9W2H4	FBgn0034623
Q7K1E3	FBgn0034518
Q8IMI0	FBgn0039790
P91682	FBgn0003444
Q9VAX3	FBgn0085391
Q7KS34	FBgn0051140
Q9VHT9	FBgn0037562
Q9I7K6	FBgn0037624
Q9VS51	FBgn0035767
Q9VHS3	FBgn0037577
E1JH68	FBgn0264962
Q9VXW4	FBgn0030629
Q9VPJ0	FBgn0031217
Q9VG91	FBgn0038028
Q9VLU1	FBgn0031976
Q9VQ76	FBgn0031390
A1Z892	FBgn0033520
Q9VUZ4	FBgn0036576
Q9VV82	FBgn0042177
Q9W3B8	FBgn0030065
Q7JRQ4	FBgn0033280
Q9VL64	FBgn0259712
Q9VP02	FBgn0043783
Q9NF33	FBgn0040398
Q7JXB9	FBgn0033690
Q9I7N1	FBgn0042126
A1ZAU4	FBgn0034229
Q8SXX5	FBgn0066303
Q9W3U1	FBgn0052732
Q8MT71	FBgn0003209
Q8SY19	FBgn0025814
M9PBZ2	FBgn0010263
Q5LJN5	FBgn0267433
Q9VNC9	FBgn0037336
Q9VG93	FBgn0010043
Q59DZ4	FBgn0261871
A8DWJ8	FBgn0085428
Q9W4U2	FBgn0029648
Q9VT00	FBgn0036004
Q8IMW5	FBgn0263490
Q9VTM1	FBgn0036193
Q01820	FBgn0005695
Q9VCU6	FBgn0039019
Q4QPW4	FBgn0033701
Q9VSS1	FBgn0086706
Q7JR34	FBgn0053144
Q9VMI0	FBgn0031774
Q8SZZ8	FBgn0038860
Q961R8	FBgn0027088
Q9VFJ1	FBgn0038235
P13468	FBgn0000810
A1Z7N0	FBgn0033369
Q9VMJ0	FBgn0031765
Q8MPN3	FBgn0284408
O01349	FBgn0019968
Q9VHX3	FBgn0040524
Q9VEZ3	FBgn0027948
Q7KK54	FBgn0016059
Q9VWC7	FBgn0031070
Q7KT77	FBgn0053310
Q9VB13	FBgn0266579
Q9VD37	FBgn0263117
Q59E08	FBgn0037174
Q9VMD0	FBgn0031820
E8NH67	FBgn0031089
Q7K2X0	FBgn0033751
Q86BN8	FBgn0039111
Q8MT78	FBgn0034158
Q9V459	FBgn0040352
Q9W485	FBgn0261383
Q9W5Y1	FBgn0031080
Q9VZJ9	FBgn0035483
A8JR16	FBgn0038339
Q9W0P1	FBgn0035151
Q9VWB0	FBgn0052226
Q9W3W5	FBgn0003390
Q8IMW2	FBgn0039214
Q7JRJ1	FBgn0033166
O18683	FBgn0020622
A1Z6X2	FBgn0033159
Q1LZ24	FBgn0033185
Q8IQ13	FBgn0051957
Q9W3R3	FBgn0029947
Q9V3A9	FBgn0250844
Q9VCJ2	FBgn0039107
P58952	FBgn0265138
Q9VBH3	FBgn0039411
Q9VLB0	FBgn0032126
P56544	FBgn0025115
Q9NHD5	FBgn0024188
M9PEQ7	FBgn0035643
Q8IPC5	FBgn0032210
Q9VCU1	FBgn0039024
Q5U127	FBgn0036534
Q9Y148	FBgn0261403
Q9I7K7	FBgn0042101
Q9V3H0	FBgn0028406
Q9Y166	FBgn0027610
Q9VUN7	FBgn0036500
Q9VA80	FBgn0039766
Q9VPJ6	FBgn0031219
Q9W3E8	FBgn0014465
Q9I7T8	FBgn0035397
Q9VDQ5	FBgn0038766
Q9VYH1	FBgn0030449
Q9W1L8	FBgn0034887
Q7PL76	FBgn0002566
Q9VL02	FBgn0005322
Q9VQ35	FBgn0031357
Q9VZ81	FBgn0035577
Q8T9G8	FBgn0027094
Q9VSE5	FBgn0035845
Q9VDD7	FBgn0250820
Q9W0Q0	FBgn0035143
Q9VTE8	FBgn0036126
Q9VRF3	FBgn0031161
Q9V675	FBgn0033696
Q9VNE1	FBgn0037345
Q8T6B9	FBgn0028577
M9PD12	FBgn0032451
A1ZA16	FBgn0050468
Q7KSK2	FBgn0038205
Q9VD64	FBgn0038916
P91928	FBgn0019960
Q24256	FBgn0004854
Q9V3Y7	FBgn0028526
Q86B87	FBgn0002781
Q8IGL8	FBgn0250819
Q0E8K8	FBgn0035103
P10041	FBgn0000463
P35220	FBgn0010215
Q9VSY7	FBgn0040305
P06605	FBgn0003885
P45975	FBgn0263755
Q9U6R9	FBgn0028552
Q0E996	FBgn0010488
Q4V3L3	FBgn0264738
P10627	FBgn0003900
A1ZAT5	FBgn0034223
Q9VEU6	FBgn0038435
P18459	FBgn0005626
Q9VCT5	FBgn0039029
Q9VM19	FBgn0031907
Q8T8V8	FBgn0034842
A1Z866	FBgn0033504
Q7KSF4	FBgn0014141
Q9W0J9	FBgn0035189
O44117	FBgn0052190
Q8IR10	FBgn0052570
Q9BMG9	FBgn0038498
Q9VSZ6	FBgn0036000
Q9VQ73	FBgn0031388
