Q9VWD5	FBgn0031061
P02835	FBgn0001077
Q9XZ56	FBgn0261560
Q9W1I8	FBgn0034913
Q9VQ91	FBgn0031401
A1Z9X0	FBgn0261854
Q9VQD4	FBgn0026778
Q94547	FBgn0017550
P31009	FBgn0004867
M9PF27	FBgn0036318
P16568	FBgn0000183
Q7KM15	FBgn0000181
Q86BB4	FBgn0026620
Q27896	FBgn0010287
Q9VM50	FBgn0031882
Q9VGE2	FBgn0037981
Q9VN14	FBgn0037240
P36975	FBgn0011288
A8DYL3	FBgn0243516
Q9GQN5	FBgn0039338
O02002	FBgn0010501
Q24276	FBgn0011573
P23572	FBgn0004106
P10084	FBgn0004170
Q9V9W8	FBgn0043900
P49846	FBgn0010356
P23654	FBgn0004108
Q8I8V0	FBgn0037555
Q24537	FBgn0278608
O96689	FBgn0260987
Q8T0D3	FBgn0026533
Q7KNM2	FBgn0010602
P10627	FBgn0003900
Q9XYU0	FBgn0020633
Q05201	FBgn0000320
Q7JUF2	FBgn0086898
Q9VWN4	FBgn0030974
Q3KN41	FBgn0038975
P36179	FBgn0260439
P08953	FBgn0262473
P05661	FBgn0264695
P13395	FBgn0250789
Q400N1	FBgn0086690
Q8MLQ0	FBgn0061198
P27619	FBgn0003392
Q9W4M8	FBgn0026085
Q9VEA2	FBgn0038593
Q7K0E6	FBgn0002069
Q7JVL3	FBgn0050342
Q9VGW6	FBgn0017577
Q9Y1T2	FBgn0026598
P49735	FBgn0014861
Q9VYQ8	FBgn0030366
P42271	FBgn0010097
Q9VF03	FBgn0002783
Q9VCE6	FBgn0039139
P17210	FBgn0001308
Q9VLU0	FBgn0031977
Q9W437	FBgn0029840
Q27415	FBgn0016685
Q27889	FBgn0011826
P31007	FBgn0001624
Q7KNQ9	FBgn0286070
P48555	FBgn0015286
Q24117	FBgn0011760
Q9V3D6	FBgn0027873
P92177	FBgn0020238
Q8IR55	FBgn0002873
Q5U0Y0	FBgn0022764
Q9VMH2	FBgn0284255
Q7K5N4	FBgn0262166
Q7KSM5	FBgn0029512
Q9W450	FBgn0029830
Q24562	FBgn0005411
Q9VRT7	FBgn0035675
Q24472	FBgn0015799
P48598	FBgn0015218
Q9V3C4	FBgn0011802
Q9VG38	FBgn0005355
Q9Y091	FBgn0000662
Q9Y0H4	FBgn0003557
A1ZAY1	FBgn0034264
Q23978	FBgn0086347
Q9VCQ7	FBgn0039055
P29617	FBgn0004595
O76324	FBgn0002413
Q9W4N8	FBgn0029687
Q9V3Q4	FBgn0040308
Q7JWD6	FBgn0266711
Q86BR6	FBgn0039705
Q9VHS8	FBgn0037573
Q9VW47	FBgn0001324
P10734	FBgn0001320
Q6J5K9	FBgn0041164
P18491	FBgn0000575
Q9V9Y9	FBgn0086362
Q9V4P1	FBgn0261385
M9MRT5	FBgn0032515
P40301	FBgn0086134
Q7K126	FBgn0033029
P91926	FBgn0264855
Q9Y1B2	FBgn0023180
Q7JVK6	FBgn0033528
P46150	FBgn0011661
Q8IRY7	FBgn0020381
P51140	FBgn0000499
Q5U0V7	FBgn0034691
Q9VTM0	FBgn0036192
P23647	FBgn0001079
M9PJD0	FBgn0261873
P18537	FBgn0001085
Q9V3Z4	FBgn0028690
Q0E9H8	FBgn0033159
Q8SX86	FBgn0035461
Q9V452	FBgn0043001
Q7K112	FBgn0011725
Q7K105	FBgn0033402
Q8IHA6	FBgn0037831
Q9VUH6	FBgn0036448
Q9W4T9	FBgn0028369
M9PD17	FBgn0005198
Q9VWI2	FBgn0031020
Q9VQ93	FBgn0267378
Q9VHV8	FBgn0243512
Q9W4S7	FBgn0262656
Q9VTE0	FBgn0036118
Q95RV2	FBgn0026257
P08970	FBgn0003567
Q9VHE3	FBgn0037688
Q9W1M9	FBgn0034879
Q24090	FBgn0011715
E1JIC9	FBgn0015829
Q24213	FBgn0267698
Q9VEV1	FBgn0044826
P34021	FBgn0000546
O18333	FBgn0014009
P98149	FBgn0011274
Q7KNF1	FBgn0026722
Q9VCZ8	FBgn0038976
P05205	FBgn0003607
P40427	FBgn0000611
Q4V5A7	FBgn0034423
Q9V3S6	FBgn0026320
Q7KLV9	FBgn0028689
Q9VSK3	FBgn0263352
P49906	FBgn0011291
P08928	FBgn0002525
Q7K4B4	FBgn0033740
Q95RV3	FBgn0034217
O61380	FBgn0023213
Q9V8P9	FBgn0267351
Q9VKD6	FBgn0032390
Q9VG73	FBgn0038046
Q7K180	FBgn0010342
Q9VIE6	FBgn0032929
P40688	FBgn0003655
P50535	FBgn0005617
P13098	FBgn0000591
Q9XYP7	FBgn0026430
Q9VIE7	FBgn0000239
Q9VN10	FBgn0261434
Q9VEN2	FBgn0038478
Q86B87	FBgn0002781
P30052	FBgn0003345
Q9W0F8	FBgn0003295
Q9VKJ4	FBgn0032346
Q9V8K2	FBgn0266671
Q9VNX7	FBgn0046301
Q24246	FBgn0003654
O96863	FBgn0026136
P26017	FBgn0003042
P09208	FBgn0283499
Q9VS55	FBgn0035769
Q9VQQ9	FBgn0266670
P53034	FBgn0260985
Q0KHR3	FBgn0000163
P29673	FBgn0267978
P04412	FBgn0003731
Q9VCD8	FBgn0040283
A1Z6Z9	FBgn0261397
P40423	FBgn0003514
P13496	FBgn0001108
Q9VHR6	FBgn0261108
Q961D9	FBgn0039907
Q9VZF5	FBgn0011692
P54367	FBgn0015024
P16554	FBgn0002973
Q9V3K3	FBgn0040075
Q7K012	FBgn0025716
Q29QQ9	FBgn0034065
X2JE40	FBgn0026181
P19334	FBgn0003861
P42570	FBgn0003114
Q8T4F7	FBgn0000578
Q8I0J6	FBgn0037384
Q9V3H8	FBgn0028411
P18502	FBgn0003892
Q24338	FBgn0000588
A1Z9S6	FBgn0026427
P49071	FBgn0013987
P47825	FBgn0010280
Q9VQY9	FBgn0261976
Q24297	FBgn0000426
Q9VFT4	FBgn0015778
Q9XYM0	FBgn0024811
Q9VUI0	FBgn0001120
Q95TJ9	FBgn0039858
Q9V4Q8	FBgn0033210
Q05547	FBgn0003132
Q9W1A9	FBgn0034975
Q9V3V7	FBgn0087021
P48607	FBgn0003495
E2QCN4	FBgn0085436
B7Z0T5	FBgn0027951
O02193	FBgn0014340
Q9VDG2	FBgn0026056
Q9V9V7	FBgn0039861
Q8IMA8	FBgn0085432
Q9V444	FBgn0043002
Q9VQ89	FBgn0031399
Q94527	FBgn0014018
Q09147	FBgn0285896
P24350	FBgn0000028
D3DML3	FBgn0044323
P49021	FBgn0014396
Q9VUR3	FBgn0036515
Q94533	FBgn0283472
Q9VVJ6	FBgn0052179
Q9VN77	FBgn0037293
O96433	FBgn0025455
Q9VM59	FBgn0031876
Q9VEV9	FBgn0003513
Q9VVR1	FBgn0013717
F0JAG2	FBgn0263603
P18824	FBgn0000117
P42287	FBgn0001137
Q27934	FBgn0013725
Q9VC93	FBgn0039183
Q9VQB6	FBgn0031420
O76922	FBgn0000146
P07664	FBgn0003512
P10987	FBgn0000042
P02828	FBgn0001233
Q9VBH7	FBgn0039407
P08044	FBgn0003448
P12982	FBgn0004103
Q01083	FBgn0005672
Q7K738	FBgn0026316
Q9W2P0	FBgn0034569
M9PFV2	FBgn0036801
Q9VN60	FBgn0026417
Q9Y0S9	FBgn0020510
O01382	FBgn0019972
Q9VAQ8	FBgn0039625
Q7K4K7	FBgn0086757
M9PGW1	FBgn0028421
Q9NB04	FBgn0067864
Q24008	FBgn0001263
P18431	FBgn0003371
Q8IPP3	FBgn0259212
P06602	FBgn0000606
Q9VM64	FBgn0031872
Q9VPY3	FBgn0031317
Q7K4Z4	FBgn0013983
Q9VJ33	FBgn0032725
O18335	FBgn0015790
A1Z9I5	FBgn0086356
Q9V6L9	FBgn0043010
P42003	FBgn0011648
O77051	FBgn0024371
Q9VXU2	FBgn0027287
P42282	FBgn0003870
Q95RR8	FBgn0035397
P46824	FBgn0010235
Q9VCR6	FBgn0053193
Q9V345	FBgn0027054
P45975	FBgn0263755
M9PDW0	FBgn0013342
P91943	FBgn0085432
Q9VXE5	FBgn0025743
P22769	FBgn0004066
Q9V359	FBgn0021814
P50534	FBgn0005616
Q8IMZ2	FBgn0004882
Q9VEL2	FBgn0038499
Q9VRN6	FBgn0035627
A8JR42	FBgn0026239
Q7JVY2	FBgn0000996
O96989	FBgn0026143
Q9W3D1	FBgn0030054
Q9NHB0	FBgn0040323
Q24307	FBgn0015247
Q7KTX8	FBgn0003415
Q9W5E1	FBgn0025638
M9PHZ1	FBgn0030891
Q9VLL1	FBgn0027490
M9NFF9	FBgn0052343
O17468	FBgn0022786
P04197	FBgn0002914
Q86B79	FBgn0004395
P35820	FBgn0005624
Q0E8J0	FBgn0035357
Q9VZJ3	FBgn0263832
Q9VPZ7	FBgn0041097
Q9VCU6	FBgn0039019
P29742	FBgn0000319
Q9NHV9	FBgn0040068
O16810	FBgn0286788
Q8T030	FBgn0011817
Q94899	FBgn0013746
Q9V393	FBgn0040206
Q9V3Z1	FBgn0028978
Q7K0E3	FBgn0259483
P40793	FBgn0010341
Q9VDR7	FBgn0021776
P25172	FBgn0265623
B5RJR1	FBgn0262029
P18489	FBgn0003660
Q7KJ69	FBgn0026176
Q8IRW8	FBgn0023518
Q9W4I7	FBgn0025739
Q9W0I7	FBgn0035194
Q9VKQ9	FBgn0032293
Q7K306	FBgn0016131
P81900	FBgn0022382
P91641	FBgn0013531
Q9W384	FBgn0030093
Q9NJG9	FBgn0020887
Q9VA38	FBgn0011739
Q9XZ68	FBgn0028970
Q08012	FBgn0004638
Q9U1H9	FBgn0003321
A1ZAK9	FBgn0014870
Q9V4S8	FBgn0028836
Q9NHX0	FBgn0040291
Q9W482	FBgn0029800
Q23983	FBgn0250791
P21461	FBgn0003410
X2JCC3	FBgn0036239
Q9W0I6	FBgn0283500
Q27324	FBgn0015380
Q7K159	FBgn0034430
P12370	FBgn0000273
P48608	FBgn0011202
Q9VVR6	FBgn0036804
A1Z9L2	FBgn0033897
Q7KTS2	FBgn0037363
Q9VYG2	FBgn0025463
Q7JYX5	FBgn0266186
P83094	FBgn0045073
P09052	FBgn0283442
Q24572	FBgn0263979
Q9VYW6	FBgn0030318
A1ZA18	FBgn0019968
Q26366	FBgn0003975
P13096	FBgn0002631
Q95UN8	FBgn0030018
O61307	FBgn0004449
Q9VBX2	FBgn0039280
Q9W0Q1	FBgn0035142
F2FB81	FBgn0041781
Q9W378	FBgn0026206
Q9V3J8	FBgn0040066
A1Z6M0	FBgn0042085
A1Z921	FBgn0011592
P20153	FBgn0003964
P18053	FBgn0261394
Q7KT38	FBgn0015772
Q9VHB6	FBgn0037710
Q9W1R3	FBgn0034854
P08111	FBgn0002121
P82804	FBgn0034918
Q9VI10	FBgn0261789
P54623	FBgn0013765
Q9W062	FBgn0035294
Q24139	FBgn0010105
Q9VB35	FBgn0016061
