Q9VF30	FBgn0003227
Q9VSZ1	FBgn0035995
Q9VDK7	FBgn0038810
Q9VA02	FBgn0039827
P20825	FBgn0027622
O16011	FBgn0265487
Q9VCF6	FBgn0039131
Q9VMA4	FBgn0031844
Q9I7U5	FBgn0035295
Q8IR26	FBgn0052581
Q9W1W0	FBgn0265187
Q9VL89	FBgn0283478
Q9VIE8	FBgn0010100
Q9VKM3	FBgn0010612
Q9VRS9	FBgn0035667
Q8IMG3	FBgn0039863
Q9V8K2	FBgn0266671
Q9VXQ7	FBgn0030679
Q9VBL8	FBgn0039376
Q9VEZ4	FBgn0038396
Q9VGS2	FBgn0037874
Q95TJ9	FBgn0039858
Q9VNA3	FBgn0037312
P23792	FBgn0000459
Q9VB80	FBgn0039482
Q9VMV3	FBgn0260470
Q9VYT2	FBgn0030345
Q9VUN0	FBgn0036494
Q9VQL6	FBgn0042627
Q9VM35	FBgn0031896
Q9VNX4	FBgn0037138
Q9VZ09	FBgn0003411
Q9VSZ6	FBgn0036000
Q86LG1	FBgn0030795
Q9V557	FBgn0033395
Q5BI31	FBgn0025388
P48149	FBgn0010198
Q9W0L4	FBgn0054056
Q7K3Z6	FBgn0085421
Q24492	FBgn0010173
Q9VCI9	FBgn0039109
Q9VCR6	FBgn0053193
Q9VAT2	FBgn0039601
Q9VCQ9	FBgn0039052
Q9VJ79	FBgn0085370
Q9VRC5	FBgn0261624
Q9W4J6	FBgn0029713
Q95RB1	FBgn0037220
Q8T3Y0	FBgn0259794
Q9VTT1	FBgn0036246
Q9VJK1	FBgn0032590
Q9XYW6	FBgn0027052
P42279	FBgn0011554
Q9VM61	FBgn0031874
P11450	FBgn0000644
Q9VZG0	FBgn0035512
Q9VUS1	FBgn0259236
Q9W101	FBgn0035068
Q9VVN1	FBgn0036773
Q9VXL5	FBgn0030710
Q8INL3	FBgn0051373
Q9W0Q5	FBgn0035139
Q9VAW6	FBgn0039577
P37236	FBgn0030897
O46202	FBgn0020509
Q9VDZ9	FBgn0038682
Q9VUU7	FBgn0036537
Q9VVE8	FBgn0036704
A4V1K1	FBgn0035708
Q9W4R9	FBgn0029664
Q9V595	FBgn0033428
Q9V345	FBgn0027054
Q9W1M9	FBgn0034879
Q9VZQ8	FBgn0035438
Q9VUB1	FBgn0036394
Q9VKT2	FBgn0032271
Q06003	FBgn0004919
A1Z7A5	FBgn0033261
Q9VYT7	FBgn0030340
Q0E961	FBgn0034049
Q9VKQ5	FBgn0032297
Q9VV75	FBgn0250814
P18173	FBgn0001112
Q9VII9	FBgn0051673
O46070	FBgn0023526
Q7JXV9	FBgn0022027
Q9VKZ7	FBgn0032217
Q9VH36	FBgn0037780
Q9VHV6	FBgn0037550
O96607	FBgn0025777
Q7JVK1	FBgn0026741
P08570	FBgn0002593
Q0KIA2	FBgn0037623
Q9VCC8	FBgn0039154
Q9VTB5	FBgn0036101
Q9VQ37	FBgn0031359
Q9VUF3	FBgn0036428
Q9VNB5	FBgn0037324
P91928	FBgn0019960
P40791	FBgn0011656
Q7K3U4	FBgn0033079
P50887	FBgn0015288
Q9XZT1	FBgn0026873
Q961J0	FBgn0082585
Q9W281	FBgn0034704
Q94523	FBgn0261439
Q86B79	FBgn0004395
Q9W0M4	FBgn0035165
Q9VPY0	FBgn0031314
Q9VFC8	FBgn0266064
Q9VI58	FBgn0037470
O02002	FBgn0010501
Q9V8Y7	FBgn0034473
P21520	FBgn0003326
Q9VF53	FBgn0267408
Q9VAX3	FBgn0085391
Q9VZ54	FBgn0030247
Q0KI14	FBgn0051121
Q9W3Q4	FBgn0029955
Q9W1G4	FBgn0034931
Q8T8S2	FBgn0034800
Q9VH57	FBgn0037763
Q9VTG7	FBgn0036144
Q8SY67	FBgn0046999
Q9VF02	FBgn0022787
O97159	FBgn0262519
Q9VZ01	FBgn0030292
P32865	FBgn0260798
Q961E7	FBgn0011754
Q24574	FBgn0016756
Q9Y093	FBgn0287209
Q9Y1B2	FBgn0023180
Q8SX43	FBgn0031068
Q9VMU4	FBgn0261608
Q9VE30	FBgn0038655
P23654	FBgn0004108
Q9W1S7	FBgn0034840
Q9VQA2	FBgn0031407
Q9VKB9	FBgn0027505
Q8T4H8	FBgn0033020
Q9XZ53	FBgn0011336
Q9VWR1	FBgn0030951
Q9W1R5	FBgn0003977
Q9W2F6	FBgn0034638
Q9VGD1	FBgn0037992
O16810	FBgn0286788
Q9VTC1	FBgn0036104
Q8INU6	FBgn0051674
Q9NGC3	FBgn0028509
Q24173	FBgn0015000
Q9VF85	FBgn0021750
Q9U1K1	FBgn0003475
Q7K0W4	FBgn0050101
Q9VDY9	FBgn0051475
Q9VPI6	FBgn0031213
P16620	FBgn0014007
Q94546	FBgn0019637
Q7K0X9	FBgn0267849
Q9W0X5	FBgn0035087
Q9U1L6	FBgn0040358
Q8IMH2	FBgn0051008
Q9VGZ8	FBgn0037811
Q9VC20	FBgn0039240
Q9W4P0	FBgn0029685
P26308	FBgn0001105
P25823	FBgn0003891
Q9W1C9	FBgn0011695
Q9VEG6	FBgn0261987
Q86CW5	FBgn0001206
Q9VSD3	FBgn0028379
Q9VZ45	FBgn0263705
P22469	FBgn0004052
Q9VC39	FBgn0039224
Q9VTH3	FBgn0036150
P23573	FBgn0004107
Q9VQ47	FBgn0051665
Q9VD63	FBgn0038917
Q9VQH6	FBgn0031468
Q9VN88	FBgn0037299
Q9VTM4	FBgn0036196
Q9W3A1	FBgn0030077
P02844	FBgn0005391
Q9VCH1	FBgn0260634
Q9VXH7	FBgn0030740
Q9W5C8	FBgn0040892
Q24311	FBgn0015509
A1Z7M0	FBgn0033358
Q9VQS4	FBgn0031549
Q9VN31	FBgn0037255
Q9VTI3	FBgn0036160
Q9VBM0	FBgn0039374
P21914	FBgn0014028
P23487	FBgn0004228
Q9VXJ0	FBgn0030731
Q9VIQ8	FBgn0032833
Q8MZ65	FBgn0051924
Q9W394	FBgn0052708
Q9VKR8	FBgn0032285
Q7K4I5	FBgn0031664
P40793	FBgn0010341
P25991	FBgn0003559
Q9W3L4	FBgn0029990
Q9VPE2	FBgn0037001
P81641	FBgn0000078
Q9VNS5	FBgn0037179
Q95RR1	FBgn0052446
P27398	FBgn0003464
Q9VRP5	FBgn0260936
Q9VQU8	FBgn0263846
P08879	FBgn0000150
O77430	FBgn0025637
Q0KHS0	FBgn0040207
Q5BI03	FBgn0034009
Q27884	FBgn0003139
Q4V6H2	FBgn0034415
Q8MSX2	FBgn0024330
P02515	FBgn0001223
A1Z6J2	FBgn0033052
A4IJ70	FBgn0259714
Q9U1M2	FBgn0040384
Q9I7V4	FBgn0042098
Q9W4N9	FBgn0029686
Q9VBD4	FBgn0051080
Q7JR80	FBgn0265186
Q8ST61	FBgn0032816
Q9VW54	FBgn0028695
Q9XYU1	FBgn0284442
Q9VJ87	FBgn0086707
Q9VHD1	FBgn0037698
Q9VL20	FBgn0032197
Q9VI60	FBgn0040670
A1Z7G0	FBgn0259226
Q9VTB0	FBgn0036096
Q9I7L7	FBgn0042133
P22808	FBgn0261930
Q9VP18	FBgn0028663
Q9W145	FBgn0035028
Q27606	FBgn0014469
P16621	FBgn0000464
Q9W0E2	FBgn0035228
Q9VF23	FBgn0038373
Q9V4E0	FBgn0039909
Q9VXD7	FBgn0052573
Q8SXK2	FBgn0037526
Q94535	FBgn0017457
Q7JQ32	FBgn0266136
Q9VUA0	FBgn0036386
