dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000002,5SrRNA,E,,flybase
110,7227,FBgn0000008,a,C,,flybase
110,7227,FBgn0000009,Abnormal-abdomen,NE,,flybase
110,7227,FBgn0000014,abd-A,C,,flybase
110,7227,FBgn0000015,Abd-B,C,,flybase
110,7227,FBgn0000017,Abl,C,,flybase
110,7227,FBgn0000018,abo,C,,flybase
110,7227,FBgn0000019,abr,E,,flybase
110,7227,FBgn0000020,abt,NE,,flybase
110,7227,FBgn0000022,ac,NE,,flybase
110,7227,FBgn0000023,acclinal-wing,NE,,flybase
110,7227,FBgn0000024,Ace,C,,flybase
110,7227,FBgn0000028,acj6,C,,flybase
110,7227,FBgn0000032,Acph-1,NE,,flybase
110,7227,FBgn0000036,nAChRalpha1,C,,flybase
110,7227,FBgn0000037,mAChR-A,NE,,flybase
110,7227,FBgn0000038,nAChRbeta1,NE,,flybase
110,7227,FBgn0000039,nAChRalpha2,NE,,flybase
110,7227,FBgn0000042,Act5C,C,,flybase
110,7227,FBgn0000043,Act42A,E,,flybase
110,7227,FBgn0000044,Act57B,E,,flybase
110,7227,FBgn0000045,Act79B,C,,flybase
110,7227,FBgn0000046,Act87E,E,,flybase
110,7227,FBgn0000047,Act88F,C,,flybase
110,7227,FBgn0000049,l(1)adl1,E,,flybase
110,7227,FBgn0000052,Pfas,C,,flybase
110,7227,FBgn0000053,Gart,C,,flybase
110,7227,FBgn0000057,adp,C,,flybase
110,7227,FBgn0000061,al,C,,flybase
110,7227,FBgn0000062,alb,E,,flybase
110,7227,FBgn0000063,Mps1,C,,flybase
110,7227,FBgn0000064,Ald1,C,,flybase
110,7227,FBgn0000065,Aldox89A,NE,,flybase
110,7227,FBgn0000068,alo,NE,,flybase
110,7227,FBgn0000069,Ablp,E,,flybase
110,7227,FBgn0000070,Alu,NE,,flybase
110,7227,FBgn0000071,Ama,NE,,flybase
110,7227,FBgn0000074,amb,NE,,flybase
110,7227,FBgn0000075,amd,C,,flybase
110,7227,FBgn0000077,amx,C,,flybase
110,7227,FBgn0000083,AnxB9,C,,flybase
110,7227,FBgn0000084,AnxB10,NE,,flybase
110,7227,FBgn0000092,CG2650,NE,,flybase
110,7227,FBgn0000094,Anp,NE,,flybase
110,7227,FBgn0000096,ants,NE,,flybase
110,7227,FBgn0000097,aop,C,,flybase
110,7227,FBgn0000100,RpLP0,E,,flybase
