ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
135810,173,83333,b4233,,,NE,,16738554
135811,173,83333,b4232,,,NE,,16738554
135812,173,83333,b4231,,,NE,,16738554
135813,173,83333,b4230,,,NE,,16738554
135814,173,83333,b4227,,,NE,,16738554
135815,173,83333,b4226,,,E,,16738554
135816,173,83333,b4225,,,NE,,16738554
135817,173,83333,b4224,,,E,,16738554
135818,173,83333,b4223,,,NE,,16738554
135819,173,83333,b4222,,,NE,,16738554
135820,173,83333,b4221,,,NE,,16738554
135821,173,83333,b4220,,,NE,,16738554
135822,173,83333,b4219,,,NE,,16738554
135823,173,83333,b4218,,,NE,,16738554
135824,173,83333,b4217,,,NE,,16738554
135825,173,83333,b4216,,,NE,,16738554
135826,173,83333,b4215,,,NE,,16738554
135827,173,83333,b4214,,,NE,,16738554
135828,173,83333,b4213,,,NE,,16738554
135829,173,83333,b4212,,,NE,,16738554
135830,173,83333,b4211,,,NE,,16738554
135831,173,83333,b4210,,,NE,,16738554
135832,173,83333,b4209,,,NE,,16738554
135833,173,83333,b4208,,,NE,,16738554
135834,173,83333,b4207,,,NE,,16738554
135835,173,83333,b4206,,,NE,,16738554
135836,173,83333,b4205,,,NE,,16738554
135837,173,83333,b4204,,,NE,,16738554
135838,173,83333,b4203,,,NE,,16738554
135839,173,83333,b4202,,,E,,16738554
135840,173,83333,b4201,,,NE,,16738554
135841,173,83333,b4200,,,NE,,16738554
135842,173,83333,b4199,,,NE,,16738554
135843,173,83333,b4198,,,NE,,16738554
135844,173,83333,b4197,,,NE,,16738554
135845,173,83333,b4196,,,NE,,16738554
135846,173,83333,b4195,,,NE,,16738554
135847,173,83333,b4194,,,NE,,16738554
135848,173,83333,b4193,,,NE,,16738554
135849,173,83333,b4192,,,NE,,16738554
135850,173,83333,b4191,,,NE,,16738554
135851,173,83333,b4190,,,NE,,16738554
135852,173,83333,b4189,,,NE,,16738554
135853,173,83333,b4188,,,NE,,16738554
135854,173,83333,b4187,,,NE,,16738554
135855,173,83333,b4186,,,NE,,16738554
135856,173,83333,b4185,,,NE,,16738554
135857,173,83333,b4184,,,NE,,16738554
135858,173,83333,b4183,,,NE,,16738554
135859,173,83333,b4182,,,NE,,16738554
135860,173,83333,b4181,,,NE,,16738554
135861,173,83333,b4180,,,NE,,16738554
135862,173,83333,b4179,,,NE,,16738554
135863,173,83333,b4178,,,NE,,16738554
135864,173,83333,b4177,,,NE,,16738554
135865,173,83333,b4176,,,NE,,16738554
135866,173,83333,b4175,,,NE,,16738554
135867,173,83333,b4174,,,NE,,16738554
135868,173,83333,b4173,,,NE,,16738554
135869,173,83333,b4172,,,NE,,16738554
135870,173,83333,b4171,,,NE,,16738554
135871,173,83333,b4170,,,NE,,16738554
135872,173,83333,b4169,,,NE,,16738554
135873,173,83333,b4168,,,E,,16738554
135874,173,83333,b4167,,,NE,,16738554
135875,173,83333,b4166,,,NE,,16738554
135876,173,83333,b4162,,,E,,16738554
135877,173,83333,b4161,,,NE,,16738554
135878,173,83333,b4160,,,E,,16738554
135879,173,83333,b4159,,,NE,,16738554
135880,173,83333,b4158,,,NE,,16738554
135881,173,83333,b4157,,,NE,,16738554
135882,173,83333,b4156,,,NE,,16738554
135883,173,83333,b4155,,,NE,,16738554
135884,173,83333,b4154,,,NE,,16738554
135885,173,83333,b4153,,,NE,,16738554
135886,173,83333,b4152,,,NE,,16738554
135887,173,83333,b4151,,,NE,,16738554
135888,173,83333,b4150,,,NE,,16738554
135889,173,83333,b4149,,,NE,,16738554
135890,173,83333,b4148,,,NE,,16738554
135891,173,83333,b4147,,,NE,,16738554
135892,173,83333,b4146,,,NE,,16738554
135893,173,83333,b4145,,,NE,,16738554
135894,173,83333,b4144,,,NE,,16738554
135895,173,83333,b4143,,,NE,,16738554
135896,173,83333,b4142,,,E,,16738554
135897,173,83333,b4141,,,NE,,16738554
135898,173,83333,b4140,,,NE,,16738554
135899,173,83333,b4139,,,NE,,16738554
135900,173,83333,b4138,,,NE,,16738554
135901,173,83333,b4137,,,NE,,16738554
135902,173,83333,b4136,,,NE,,16738554
